-rw-r--r-- 1 root root 68818 Jun 8 16:29 var/log/dpkg.log

2016-06-08 16:28:24 startup archives install
2016-06-08 16:28:24 install base-passwd:amd64 <none> 3.5.37
2016-06-08 16:28:24 status half-installed base-passwd:amd64 3.5.37
2016-06-08 16:28:24 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:24 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:24 configure base-passwd:amd64 3.5.37 3.5.37
2016-06-08 16:28:24 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:24 status half-configured base-passwd:amd64 3.5.37
2016-06-08 16:28:25 status installed base-passwd:amd64 3.5.37
2016-06-08 16:28:25 startup archives install
2016-06-08 16:28:25 install base-files:amd64 <none> 8+deb8u5
2016-06-08 16:28:25 status half-installed base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 configure base-files:amd64 8+deb8u5 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status half-configured base-files:amd64 8+deb8u5
2016-06-08 16:28:25 status installed base-files:amd64 8+deb8u5
2016-06-08 16:28:25 startup archives install
2016-06-08 16:28:25 upgrade dpkg 1.17.27 1.17.27
2016-06-08 16:28:25 status half-configured dpkg 1.17.27
2016-06-08 16:28:25 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status half-installed dpkg 1.17.27
2016-06-08 16:28:26 status half-installed dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 configure dpkg 1.17.27 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status unpacked dpkg 1.17.27
2016-06-08 16:28:26 status half-configured dpkg 1.17.27
2016-06-08 16:28:26 status installed dpkg 1.17.27
2016-06-08 16:28:26 startup archives install
2016-06-08 16:28:26 install libc6:amd64 <none> 2.19-18+deb8u4
2016-06-08 16:28:26 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 configure libc6:amd64 2.19-18+deb8u4 2.19-18+deb8u4
2016-06-08 16:28:27 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 status half-configured libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 status installed libc6:amd64 2.19-18+deb8u4
2016-06-08 16:28:27 startup archives install
2016-06-08 16:28:27 install perl-base:amd64 <none> 5.20.2-3+deb8u5
2016-06-08 16:28:27 status half-installed perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 configure perl-base:amd64 5.20.2-3+deb8u5 5.20.2-3+deb8u5
2016-06-08 16:28:28 status unpacked perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 status half-configured perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 status installed perl-base:amd64 5.20.2-3+deb8u5
2016-06-08 16:28:28 startup archives install
2016-06-08 16:28:28 install mawk:amd64 <none> 1.3.3-17
2016-06-08 16:28:28 status half-installed mawk:amd64 1.3.3-17
2016-06-08 16:28:28 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:28 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:28 configure mawk:amd64 1.3.3-17 1.3.3-17
2016-06-08 16:28:28 status unpacked mawk:amd64 1.3.3-17
2016-06-08 16:28:28 status half-configured mawk:amd64 1.3.3-17
2016-06-08 16:28:28 status installed mawk:amd64 1.3.3-17
2016-06-08 16:28:29 startup archives unpack
2016-06-08 16:28:29 install acl:amd64 <none> 2.2.52-2
2016-06-08 16:28:29 status half-installed acl:amd64 2.2.52-2
2016-06-08 16:28:29 status unpacked acl:amd64 2.2.52-2
2016-06-08 16:28:29 status unpacked acl:amd64 2.2.52-2
2016-06-08 16:28:29 install libacl1:amd64 <none> 2.2.52-2
2016-06-08 16:28:29 status half-installed libacl1:amd64 2.2.52-2
2016-06-08 16:28:29 status unpacked libacl1:amd64 2.2.52-2
2016-06-08 16:28:29 status unpacked libacl1:amd64 2.2.52-2
2016-06-08 16:28:29 install adduser:all <none> 3.113+nmu3
2016-06-08 16:28:29 status half-installed adduser:all 3.113+nmu3
2016-06-08 16:28:29 status unpacked adduser:all 3.113+nmu3
2016-06-08 16:28:29 status unpacked adduser:all 3.113+nmu3
2016-06-08 16:28:30 install libattr1:amd64 <none> 1:2.4.47-2
2016-06-08 16:28:30 status half-installed libattr1:amd64 1:2.4.47-2
2016-06-08 16:28:30 status unpacked libattr1:amd64 1:2.4.47-2
2016-06-08 16:28:30 status unpacked libattr1:amd64 1:2.4.47-2
2016-06-08 16:28:30 install libaudit-common:all <none> 1:2.4-1
2016-06-08 16:28:30 status half-installed libaudit-common:all 1:2.4-1
2016-06-08 16:28:30 status unpacked libaudit-common:all 1:2.4-1
2016-06-08 16:28:30 status unpacked libaudit-common:all 1:2.4-1
2016-06-08 16:28:30 install libaudit1:amd64 <none> 1:2.4-1+b1
2016-06-08 16:28:30 status half-installed libaudit1:amd64 1:2.4-1+b1
2016-06-08 16:28:30 status unpacked libaudit1:amd64 1:2.4-1+b1
2016-06-08 16:28:30 status unpacked libaudit1:amd64 1:2.4-1+b1
2016-06-08 16:28:30 upgrade base-files:amd64 8+deb8u5 8+deb8u5
2016-06-08 16:28:30 status half-configured base-files:amd64 8+deb8u5
